Date,Gia_vang,Gia_dau,Chi_so_bien_dong,Ty_gia_USD_VND,Gia_vang_the_gioi,Lai_suat_%,So_nguoi_mua,So_nguoi_ban,Gia_vang_tg
2025-11-04 00:00:00+00:00,4000.300049,61.04999924,17.17000008,26309,368.7799988,0.4,1681,3318,3687.799988
2025-11-04 05:00:00+00:00,3947.699951,60.56000137,19,26309,362.3200073,0.4,1997,3002,3623.200073
2025-11-05 00:00:00+00:00,3947.699951,60.56000137,19,26295,362.3200073,0.4,1997,3002,3623.200073
2025-11-05 05:00:00+00:00,3980.300049,59.59999847,18.01000023,26295,366.5100098,0.4,1792,3207,3665.100098
2025-11-06 00:00:00+00:00,3980.300049,59.59999847,18.01000023,26300,366.5100098,0.4,1792,3207,3665.100098
2025-11-06 05:00:00+00:00,3979.899902,59.43000031,19.5,26300,366.0700073,0.4,1814,3185,3660.700073
2025-11-07 00:00:00+00:00,3979.899902,59.43000031,19.5,26285,366.0700073,0.4,1814,3185,3660.700073
2025-11-07 05:00:00+00:00,3999.399902,59.75,19.07999992,26285,368.3099976,0.4,1704,3295,3683.099976
2025-11-10 00:00:00+00:00,3999.399902,59.75,19.07999992,26280,368.3099976,0.4,1704,3295,3683.099976
2025-11-10 05:00:00+00:00,4111.799805,60.13000107,17.60000038,26280,378.3800049,0.4,1211,3788,3783.800049
2025-11-11 00:00:00+00:00,4111.799805,60.13000107,17.60000038,26270,378.3800049,0.4,1211,3788,3783.800049
2025-11-11 05:00:00+00:00,4106.799805,61.04000092,17.28000069,26270,379.8699951,0.4,1139,3860,3798.699951
2025-11-12 00:00:00+00:00,4106.799805,61.04000092,17.28000069,26280,379.8699951,0.4,1139,3860,3798.699951
2025-11-12 05:00:00+00:00,4204.399902,58.49000168,17.51000023,26280,385.9899902,0.4,1000,4160,3859.899902
2025-11-13 00:00:00+00:00,4204.399902,58.49000168,17.51000023,26280,385.9899902,0.4,1000,4160,3859.899902
2025-11-13 05:00:00+00:00,4186.899902,58.68999863,20,26280,382.8699951,0.4,1000,4007,3828.699951
2025-11-14 00:00:00+00:00,4186.899902,58.68999863,20,26320,382.8699951,0.4,1000,4007,3828.699951
2025-11-14 05:00:00+00:00,4087.600098,60.09000015,19.82999992,26320,375.9599915,0.4,1330,3669,3759.599915
2025-11-17 00:00:00+00:00,4087.600098,60.09000015,19.82999992,26325,375.9599915,0.4,1330,3669,3759.599915
2025-11-17 05:00:00+00:00,4068.300049,59.90999985,22.37999916,26325,371.6499939,0.4,1541,3458,3716.499939
2025-11-18 00:00:00+00:00,4068.300049,59.90999985,22.37999916,26335,371.6499939,0.4,1541,3458,3716.499939
2025-11-18 05:00:00+00:00,4061.300049,60.74000168,24.69000053,26335,374.3500061,0.4,1409,3590,3743.500061
2025-11-19 00:00:00+00:00,4061.300049,60.74000168,24.69000053,26378,374.3500061,0.4,1409,3590,3743.500061
2025-11-19 05:00:00+00:00,4077.699951,59.43999863,23.65999985,26378,374.9599915,0.4,1379,3620,3749.599915
2025-11-20 00:00:00+00:00,4077.699951,59.43999863,23.65999985,26376,374.9599915,0.4,1379,3620,3749.599915
2025-11-20 05:00:00+00:00,4056.5,59.13999939,26.42000008,26376,374.8500061,0.4,1384,3615,3748.500061
2025-11-21 00:00:00+00:00,4056.5,59.13999939,26.42000008,26366,374.8500061,0.4,1384,3615,3748.500061
2025-11-21 05:00:00+00:00,4076.699951,58.06000137,23.43000031,26366,374.269989,0.4,1413,3586,3742.69989
2025-11-24 00:00:00+00:00,4076.699951,58.06000137,23.43000031,26349,374.269989,0.4,1413,3586,3742.69989
2025-11-24 05:00:00+00:00,4091.899902,58.84000015,20.52000046,26349,380.2000122,0.4,1122,3877,3802.000122
2025-11-25 00:00:00+00:00,4091.899902,58.84000015,20.52000046,26350,380.2000122,0.4,1122,3877,3802.000122
2025-11-25 05:00:00+00:00,4139.200195,57.95000076,18.55999947,26350,380.0799866,0.4,1128,3871,3800.799866
2025-11-26 00:00:00+00:00,4139.200195,57.95000076,18.55999947,26343,380.0799866,0.4,1128,3871,3800.799866
2025-11-26 05:00:00+00:00,4165.200195,58.65000153,17.19000053,26343,383.1199951,0.4,1000,4019,3831.199951
